feature,gain,cover,weight
bid_cv,0.5857913230699242,0.4795192194717547,0.9142857142857143
max_flag_score,0.41420867693007574,0.5204807805282453,0.08571428571428572
has_winner,0.0,0.0,0.0
num_bidders,0.0,0.0,0.0
flag_count,0.0,0.0,0.0
has_amendments,0.0,0.0,0.0
amendment_count,0.0,0.0,0.0
num_documents,0.0,0.0,0.0
short_deadline,0.0,0.0,0.0
deadline_days,0.0,0.0,0.0
bid_std,0.0,0.0,0.0
bid_mean,0.0,0.0,0.0
price_ratio,0.0,0.0,0.0
price_deviation,0.0,0.0,0.0
has_price_data,0.0,0.0,0.0
actual_value_mkd,0.0,0.0,0.0
estimated_value_mkd,0.0,0.0,0.0
bidder_count,0.0,0.0,0.0
single_bidder,0.0,0.0,0.0
avg_flag_score,0.0,0.0,0.0
