feature,importance
has_cpv_code,0.15786824
has_eval_method,0.12982002
tender_recent,0.06384832
actual_value_mkd,0.051894523
estimated_value_mkd,0.047453392
bid_range,0.028045101
price_vs_estimate_ratio,0.023227202
total_doc_content_length,0.021378798
winner_vs_mean_ratio,0.019433219
value_log,0.018536989
bid_mean,0.018377839
bid_coefficient_of_variation,0.016901325
price_deviation_from_estimate,0.015732467
bidders_vs_institution_avg,0.015248343
institution_single_bidder_rate,0.015056242
winner_total_wins,0.014543361
winner_prev_wins_at_institution,0.0138247665
winner_vs_median_ratio,0.0137607
bid_std,0.013227308
tender_age_days,0.012980425
