source,name,email,phone
companies,Друштво за ревизија РСМ МАКЕДОНИЈА ДООЕЛ Скопје,contact@rsmmk.mk,"02/3233-301,3216-186"
companies,Друштво за консалтинг и сметководство АНСОМА КОНСАЛТИНГ ДООЕЛ Скопје,ansoma.konsalting@gmail.com,070393108
companies,Трговско друштво за услуги БЕТА КОНСАЛТИНГ ДООЕЛ Скопје,elizabeta@betaconsulting.com.mk,"02/3118825,3114862"
companies,Друштво за сметководствени услуги и консалтинг КОНТ-ЕКОНОМИК ДООЕЛ Скопје,kont.ekonomik@gmail.com,070306072
companies,"Друштво за производство,трговија и услуги ЕКОТЕХ ПЛУС ДООЕЛ Скопје",dejanf@t-home.mk,070/236120
companies,Друштво за книговодствени  и други услуги КОНТО ДОО Скопје,dimekonto@yahoo.com,070548446
companies,Друштво за сметководствени работи КБ ИЛИЕСКИ увоз-извоз ДООЕЛ Прилеп,kb.ilieski@hotmail.com,048/522-688
companies,Друштво за консалтинг и услуги КАВЕТА увоз-извоз ДООЕЛ Скопје,info@kaveta.com.mk,023110270
companies,Друштво за производство промет и услуги АМПЛУС ДООЕЛ увоз-извоз Скопје,contact@amplus.com.mk,02/3119-180
companies,"Друштво за производство, трговија и услуги АБ ФУДС ЧЕИН ДООЕЛ увоз-извоз Скопје",lidija@vajomag.com.mk,070/227-737
companies,Трговско друштво за услуги и трговија ЈОЛЕ ДООЕЛ Чучер-Сандево,kb_jole@hotmail.com,02/2047-112
companies,Друштво за услуги СМЕТКОВОДСТВО-ДАТАКОМ ДОО Скопје,smetkovodstvodatakom@gmail.com,02/2601599
companies,Друштво за сметководствени и финансиски услуги МАРИС БИРО ДООЕЛ Велес,ma_ri_ve@yahoo.com,043/222213
companies,Друштво за промет и услуги ИНТЕРНАЦИОНАЛ  ИНВЕСТМЕНТ КОНСАЛТИНГ - ИИЦ ДОО Скопје,office@iic.com.mk,02/3177-088
companies,Друштво за сметководство и консалтинг КОНЕКТ ПЛУС КОНСАЛТИНГ ДООЕЛ Скопје,konektkonsalting@yahoo.com,"3079517,076377840"
companies,Сметководство &amp; Консалтинг ЈАНКО ТРЕТИ ДООЕЛ Охрид,jankotreti@yahoo.com,075/406806
companies,"Друштво за производство,услуги и трговија ВБ ТУЛАС увоз-извоз ДОО Штип",vb.tulas@yahoo.com,032/394049
companies,Друштво за книговодствени услуги АРГЕ Слободанка ДООЕЛ Скопје,arge_sk@t.mk,022522-864
companies,Друштво за вршење на сметководствени работи ИНТЕЛАСТ ДООЕЛ експорт импорт Скопје,keti_intelast@yahoo.com,3174-012
companies,Друштво за консултантски услуги ПРАЈСВОТЕРХАУСКУПЕРС ДООЕЛ Скопје,ljupka.koceva@pwc.com,02/3140-900
companies,Друштво за ревизорски услуги ПРАЈСВОТЕРХАУСКУПЕРС РЕВИЗИЈА ДОО Скопје,mk_finance@pwc.com,02/3140-900
companies,Друштво за сметководствени работи СИДЕКО ДООЕЛ Скопје,sideko22@gmail.com,02/6092-367
companies,"Друштво за производство,трговија и услуги СПЛЕНДИД ПЛУС ДООЕЛ Кавадарци",splendidplus.pavlinka@gmail.com,043/414-368
companies,Друштво за сметководствени услуги трговија и производство  НБФ ЛЕНА ДООЕЛ Струга,nbf.lena@gmail.com,046/781-215
companies,Друштво за сметководствени услуги КОНТО КОМПЈУТИНГ ДООЕЛ Скопје,vesna@contocomputing.com.mk,02/3085-377
companies,Друштво за книговодствени услуги и трговија ЕКО СТЕП извоз-увоз ДОО Скопје,lence@ekostep.com.mk,02/2043-380
companies,Друштво за услуги и трговија  ПРО АКАУНТ ДООЕЛ Скопје,valentina_stojcevska@yahoo.com,02/2400-748
companies,"Друштво за производство, трговија и сметководствени услуги ДЕЈДИ КОНСАЛТИНГ ДООЕЛ увоз-извоз Скопје",mitrovskad25@yahoo.com,075/375-778
companies,"Друштво за сметководствени, правни и консалтинг услуги ЕМ КОНСАЛТИНГ ГРУП ДООЕЛ Кичево",emconsulting1@yahoo.com,076/223-372
companies,"Друштво за сметководство,проценки,вештачења и консалтинг БИРОЕКОНОМИК ДООЕЛ Скопје",biroekonomik@gmail.com,02/3165-913
companies,"Друштво за производство,трговија и услуги ДЕСПОТОВСКИ ДООЕЛ Кочани",despotovskidooel@yahoo.com,033/270-227
companies,Друштво за ревизија БДО ДОО Скопје,bdo@bdo.mk,02/3117-888
companies,"Друштво за сметководствени,консалтинг и правни услуги КОНТО ПРОФИТ ДООЕЛ Скопје",konto@profit.mk,02/6091-551
companies,Друштво за производство трговија и услуги ЛУМИ ФМ ДООЕЛ Дебар,lumi-fm@hotmail.com,070/894-477
companies,"Друштво за сметководствени,книговодствени и ревизорски работи; даночно советување КОНСАЛТИНГ ЛИ-МИ увоз-извоз ДООЕЛ Прилеп",kocoskamica@yahoo.com,072/227-508
companies,Друштво за вршење на сметководствени работи ДЕМЕРЏИЕВ КОНСАЛТИНГ ДООЕЛ Богданци,demerdzievkon@yahoo.com,034/223-600
companies,Друштво за промет и услуги СЕМ СИМОН ДОО Скопје,sem@neotel.net.mk,02/3118-231
